prior,mean,sd
ni,1.5618660043094743,0.09207652687151059
lukemod,1.542425224133587,0.09104930604573581
lukestrong,1.3395260149687538,0.08016674981389575
denmod,1.5008007577734488,0.08965723788063404
denstrong,0.39361701591113424,0.0757129100050078
