ni,lukemod,lukestrong,denmod,denstrong
38.82717648,36.23578321,19.22561873,22.59437898,2.156659045
46.67296102,40.31703955,33.14632552,20.55583878,1.761746185
27.36562033,28.27415775,24.61265532,29.24982501,1.161889404
43.40724546,72.20424906,10.02385253,23.16545046,3.466424008
21.52566864,53.5488848,16.53155643,12.31797961,1.123647261
65.63009414,17.89046246,17.19706035,24.49227798,0.181391693
23.79373908,47.22648017,14.55347723,117.33063,1.292025218
19.57431107,110.8184592,105.6863028,14.83455858,0.607207106
23.04901252,10.68352393,22.11113005,51.8667805,0.14190472
87.28570489,103.0096445,31.94288805,30.29232263,2.273474337
17.93858274,107.3393568,11.05744862,29.54433389,1.050632619
26.03736532,53.49139044,16.81565685,65.65782276,1.127510422
22.26471097,40.15798543,54.87281564,9507.421063,1.731876024
67.21526003,107.8437892,27.17897389,50.45801217,0.958260409
58.80204033,34.60956067,62.47971363,40.03554478,0.337315046
76.08012863,29.04995046,9.328344153,77.73128779,1.231524759
55.55490711,632.0439686,21.75931746,10.13331434,2.605321384
10.21974358,76.15029552,48.24872255,142.4390178,5.482432593
42.3404996,35.16151681,21.64809251,32.5915191,0.831446741
15.17430052,33.97267782,11.09373517,54.53223769,2.017265857
94.01419222,51.29215475,7.156799864,16.62256786,0.096920481
72.88916005,24.98031593,13.03235766,23.96941009,3.360892798
94.09316771,32.88389747,29.14368903,25.89068847,0.684608879
71.69852865,30.79216881,49.92810268,44.98296112,1.763970789
73.01253207,65.56949873,14.76241512,24.65052568,1.929464067
26.11566613,69.69861778,16.14863947,56.31708421,7.135595216
13.5291152,33.5312922,21.2306608,47.12709943,1.913959463
115.8003381,9.701111191,57.3903859,96.94887947,2.157546718
16.64139371,35.694057,16.44063641,43.56018772,1.554295241
41.86650796,30.01256537,23.69971747,51.14842405,1.409353623
35.79242169,23.42490417,7.763604557,81.09324472,6.116632802
36.64420973,45.58249959,17.11928844,113.1928313,3.646699953
153.1121791,14.14282917,19.58127295,69.16581499,1.168263165
23.08403464,22.88976795,7.974515098,31.49930108,4.271506594
73.61011079,20.94381664,16.62352791,70.66880055,0.366671381
19.90067889,81.12113849,34.03392394,85.26428169,1.093240762
26.79855413,149.1644312,11.94989234,37.00815951,-0.386401891
29.54626159,23.56152741,32.47565092,30.41245201,1.544656939
44.31067599,56.01944905,8.424523085,41.16995523,0.385760223
21.16860115,67.60699042,31.51641389,109.3235852,3.435116909
25.22684325,33.44843692,28.32506687,81.33693404,1.715005896
22.11869652,25.40904906,14.51868859,11.80949907,0.7760613
10.99072217,32.91836605,39.59674538,41.6977928,1.949804452
35.05514609,48.48814007,20.3515561,34.72533561,2.683967144
24.16132359,93.0015637,48.5957668,76.51883982,0.896663696
30.82735547,25.82565798,14.38819765,3.886409918,-0.112196796
95.08565251,24.15485392,15.80096536,50.84408751,0.677554057
20.47833992,32.74159845,25.6498202,26.03246588,4.708312849
39.67723649,16.04024698,43.18053188,32.9694014,1.902667055
22.50365864,105.4658347,10.28357954,155.0286254,3.539672049
46.47796323,69.90789618,25.63818207,43.85272522,0.528799019
202.809868,34.06729182,35.08409347,66.38794307,0.457603199
66.1554855,42.2888896,45.49925721,43.07068516,2.434050976
46.76501996,13.73477895,35.93116526,45.96630701,1.724701773
18.8774087,216.4404034,82.44115157,15.36667493,0.157470157
37.46192424,91.62795346,79.23586134,60.6971646,2.527886283
22.20550587,21.95326246,4.2753746,24.14486896,0.27428944
30.033003,27.34257494,42.8560637,38.32858059,1.273931901
140.4235293,18.93578997,19.23039576,33.42104628,1.192500253
46.70504676,147.7745054,50.33860141,53.28135018,1.816024933
178.1172547,33.35589384,70.19378115,43.11974279,1.449778962
