prior,year_to,tcr_mean,tcr_q025,tcr_q975
denmod,1990,0.31280508006421653,-0.1690094902090199,0.7963922708200568
denstrong,1990,0.01725801215783273,-0.11758346383987998,0.14753799035432294
lukemod,1990,1.1255473141205252,0.747149533436587,1.5331927014385807
lukestrong,1990,1.0109302341415547,0.8497366765584059,1.1764737041748003
ni,1990,1.2525850742133693,0.5475081605117964,1.9797033967167137
denmod,1989,0.31123776915050594,-0.2113237931811943,0.7726879588313394
denstrong,1989,0.025881781483477806,-0.10341177441084907,0.15616347968734567
lukemod,1989,1.1762506101394288,0.8072448484726429,1.574938400398388
lukestrong,1989,1.010376042152888,0.8554453403659765,1.1650667659812879
ni,1989,1.332356551670748,0.6616404498549959,2.01127897197883
denmod,1988,0.4061858255477894,-0.06291466794529883,0.8863273501974676
denstrong,1988,0.021031986975362384,-0.10504391597357085,0.1395976919860653
lukemod,1988,1.1148972862085653,0.8000435097460776,1.4856721991463528
lukestrong,1988,1.0255763590205516,0.8665972502032938,1.1962963871712342
ni,1988,1.0973090048793304,0.4944388782986024,1.71293456990578
denmod,1987,0.3487866109325391,-0.13630183483033123,0.8023898061308075
denstrong,1987,0.026207653590515946,-0.10250430721161678,0.1570831777267796
lukemod,1987,1.1316053227618823,0.7731470803929651,1.489551202271056
lukestrong,1987,1.0056268862076532,0.8492946723476736,1.177599987240209
ni,1987,1.5474947095010931,0.9489716507160971,2.1672968616565673
denmod,1986,0.3788873993925076,-0.08572506431622148,0.844586654158456
denstrong,1986,0.024373095603956327,-0.10525071563726286,0.16288097167419913
lukemod,1986,1.2402661604667402,0.877221466444462,1.5882124880009723
lukestrong,1986,1.0247661983737513,0.8601592286374624,1.2151584269552955
ni,1986,1.499166259285256,0.943778314140833,2.071861187360559
denmod,1985,0.428652587427108,-0.047628367515941204,0.8634614046451621
denstrong,1985,0.029705112383099166,-0.09400566107121724,0.15437420994964096
lukemod,1985,1.1930720636140675,0.7957263196878213,1.5740057594490877
lukestrong,1985,1.0180176303920612,0.8593657270423652,1.1934435623682107
ni,1985,1.5133521510197747,0.9813463293882169,2.0631209767941074
denmod,1984,0.4636638179919931,-0.03802921007619606,0.9822062135895017
denstrong,1984,0.03200048617283942,-0.09698920451830337,0.15882332747685943
lukemod,1984,1.2087466639086974,0.8796047406366281,1.5821987826943962
lukestrong,1984,1.0243355375588208,0.8651627372102532,1.1956923504837629
ni,1984,1.5314770076536068,1.0482455738409184,2.0411745807286046
denmod,1983,0.5789011007590111,0.04224573211808511,1.050688556347133
denstrong,1983,0.03196069226909292,-0.09998838709766124,0.16064752102072669
lukemod,1983,1.201149082720741,0.8717599175443713,1.5810922798730744
lukestrong,1983,1.0295846485939089,0.876836249439205,1.1894188801582632
ni,1983,1.344980065621998,0.8685834124243029,1.8293420268640346
denmod,1982,0.5431303928769136,0.02350080089411498,1.1424590540647728
denstrong,1982,0.03699115481472094,-0.08607157765090559,0.1696089640520133
lukemod,1982,1.2582957741283645,0.9516139339761843,1.553299604648435
lukestrong,1982,1.039950543371942,0.8715021108369643,1.2092749311618485
ni,1982,1.3980418951137865,0.9259619897386865,1.8974236821978792
denmod,1981,0.532219390055496,0.09862593377226438,0.900385817106268
denstrong,1981,0.03657766566051198,-0.08853822147680965,0.16235852484389196
lukemod,1981,1.296814996373006,0.9781496945793474,1.6721085395679347
lukestrong,1981,1.0279845887028154,0.8693857868011244,1.200682727867374
ni,1981,1.3415420250012098,0.8836202645391866,1.8125830980864288
denmod,1980,0.60789744996547,0.18439898608560965,0.9645025592486669
denstrong,1980,0.04273945946917747,-0.08430054778759345,0.16997652066011473
lukemod,1980,1.2088909401511898,0.7992546035139205,1.5423506804805531
lukestrong,1980,1.0303822667790503,0.8775671812003848,1.1953825627642436
ni,1980,1.4309982312621043,1.002176244023645,1.8889490541256984
denmod,1979,0.6679144284081076,0.20316375871423933,1.0771565475334786
denstrong,1979,0.042392757734152874,-0.0892705245887244,0.17478405683889822
lukemod,1979,1.2528480759538985,0.8697241508080631,1.581543940650388
lukestrong,1979,1.0311570443616658,0.8721850500433609,1.193818412310284
ni,1979,1.436225191913259,1.0257122266447174,1.8598153589257664
denmod,1978,0.709050834584452,0.16014761720979195,1.1079037571854367
denstrong,1978,0.04770107586768001,-0.08204918802758907,0.17305807448583077
lukemod,1978,1.2649588431183665,0.8638045314437804,1.6497090408274409
lukestrong,1978,1.036272167233066,0.8818034439964173,1.202015380301317
ni,1978,1.4987909794028684,1.0799142657156056,1.9298258071522063
denmod,1977,0.7910320224787349,0.3079730715499564,1.21957347146378
denstrong,1977,0.0469510890889175,-0.07466271102948778,0.1737655192361928
lukemod,1977,1.2250250967705587,0.8451069792565036,1.5696877205723567
lukestrong,1977,1.04251970891029,0.8831091704545306,1.2085346012483662
ni,1977,1.4399415743383903,1.046678411731495,1.8629777845102586
denmod,1976,0.7659736169450481,0.31203862720705644,1.1991154867670621
denstrong,1976,0.049830149958781565,-0.07938943512587195,0.17308454565807696
lukemod,1976,1.275119521695356,0.8621437342094247,1.6913114252978192
lukestrong,1976,1.0408896730106905,0.8898094123305663,1.1982207533813638
ni,1976,1.4722513959312848,1.0785804272118915,1.8821570131406857
denmod,1975,0.7374532793539517,0.3472200584961213,1.1138482104246512
denstrong,1975,0.05486921895065841,-0.07336387545170663,0.18270539756951404
lukemod,1975,1.2600174091041008,0.8772559065768538,1.5753016174875054
lukestrong,1975,1.0586795788019145,0.8907488069190943,1.2230446372517672
ni,1975,1.3551796622114962,0.9605256592676632,1.7655626109087437
denmod,1974,0.7661024939035428,0.3748917252744624,1.1559763432925136
denstrong,1974,0.05713739375797084,-0.06621702239734298,0.1805246370468982
lukemod,1974,1.2790783527651113,0.966548507559944,1.6125103929304414
lukestrong,1974,1.0382144985971733,0.8815622377541246,1.2076615394220722
ni,1974,1.3403524983147075,0.9532582575078461,1.7481661762063863
denmod,1973,0.730201554232633,0.37196442372083643,1.0820138945686253
denstrong,1973,0.055083453278937405,-0.06707290792195303,0.18461466217102324
lukemod,1973,1.231262279801137,0.8902188787454732,1.5653739781111347
lukestrong,1973,1.034793575929461,0.8828881519273996,1.1953487052668994
ni,1973,1.1395673823384294,0.7055246443174257,1.5908870415110214
denmod,1972,0.6468495775184356,0.22450402951298595,1.0198679749160002
denstrong,1972,0.050094352860226427,-0.07477643833664523,0.18354624918604437
lukemod,1972,1.1236243283396234,0.8037732420308107,1.4884963447559312
lukestrong,1972,1.0199101388272456,0.8666423362428869,1.1833417164165467
ni,1972,1.126980554506782,0.6940236991947605,1.5783508451202548
denmod,1971,0.6118563155099814,0.2789098748743377,0.9314939361666535
denstrong,1971,0.05350755196942935,-0.06897783253043202,0.19754986806476732
lukemod,1971,1.0815525152930117,0.7605711095010875,1.4276926712976026
lukestrong,1971,1.0126942021948633,0.8581460693524435,1.1672524105422084
ni,1971,1.135282511981029,0.7109610293068154,1.569649405965845
denmod,1970,0.6393922270390862,0.2686093707126751,1.0077901797842266
denstrong,1970,0.05796786753262454,-0.0699428389238973,0.19035583797261865
lukemod,1970,1.0724744749567656,0.7983385218650525,1.376824700019352
lukestrong,1970,1.0098758309204094,0.8575732407239217,1.1637757087966198
ni,1970,1.1191387981185796,0.7434855397698444,1.5034557253621061
denmod,1969,0.6358358163806148,0.2940973314647913,0.9811217760553815
denstrong,1969,0.06135481019837984,-0.06667270706201325,0.1873634112202555
lukemod,1969,1.1207491222837278,0.8262416856301676,1.4244349324202659
lukestrong,1969,1.0100847999950937,0.865879393370436,1.1690780681920276
