mu,sigma,tcr_mean,yrs,thresh
1,0.25,1.25654147908456,49,1.3
0.9,0.25,1.27809923119886,50,1.3
0.8,0.25,1.2753893186832,50,1.3
0.7,0.25,1.25552023128949,50,1.3
0.6,0.25,1.25197716222191,51,1.3
0.5,0.25,1.26960968299277,54,1.3
0.4,0.25,1.25774192656228,54,1.3
0.3,0.25,1.25099928810819,54,1.3
0.2,0.25,1.25639901418524,56,1.3
0.1,0.25,1.25309567083651,69,1.3
0,0.25,1.25796223373521,71,1.3
1,0.23174,1.28267945014629,50,1.3
0.9,0.23174,1.27547780934429,50,1.3
0.8,0.23174,1.25463370103206,50,1.3
0.7,0.23174,1.25818848139847,51,1.3
0.6,0.23174,1.26704477054514,54,1.3
0.5,0.23174,1.25365451237404,54,1.3
0.4,0.23174,1.25654561296285,56,1.3
0.3,0.23174,1.25334515014894,57,1.3
0.2,0.23174,1.2541816287896,70,1.3
0.1,0.23174,1.25085747509762,71,1.3
0,0.23174,1.25023152668362,72,1.3
1,0.21348,1.27883871180036,50,1.3
0.9,0.21348,1.26458274454042,50,1.3
0.8,0.21348,1.2609984722646,51,1.3
0.7,0.21348,1.25268320371048,51,1.3
0.6,0.21348,1.25637860604881,54,1.3
0.5,0.21348,1.25783744855421,56,1.3
0.4,0.21348,1.25395123469891,69,1.3
0.3,0.21348,1.25114310759071,70,1.3
0.2,0.21348,1.25036379679911,72,1.3
0.1,0.21348,1.25854544235532,73,1.3
0,0.21348,1.2529661034959,75,1.3
1,0.19522,1.26921126671447,50,1.3
0.9,0.19522,1.25078368482607,50,1.3
0.8,0.19522,1.26362151915658,54,1.3
0.7,0.19522,1.25105105837565,54,1.3
0.6,0.19522,1.25616193570618,56,1.3
0.5,0.19522,1.25578364965,70,1.3
0.4,0.19522,1.25783208394967,72,1.3
0.3,0.19522,1.25718938600824,73,1.3
0.2,0.19522,1.25133347625785,75,1.3
0.1,0.19522,1.25331130450257,77,1.3
0,0.19522,1.25655713039833,79,1.3
1,0.17696,1.25748304481339,50,1.3
0.9,0.17696,1.26877366056739,54,1.3
0.8,0.17696,1.2554662386963,54,1.3
0.7,0.17696,1.2528946169034,56,1.3
0.6,0.17696,1.26461473169011,72,1.3
0.5,0.17696,1.25186849711315,72,1.3
0.4,0.17696,1.25033010977252,73,1.3
0.3,0.17696,1.25552193448405,77,1.3
0.2,0.17696,1.25064599957281,79,1.3
0.1,0.17696,1.25078669170821,89,1.3
0,0.17696,1.26236846898718,93,1.3
1,0.1587,1.25760953212592,51,1.3
0.9,0.1587,1.25602832189242,54,1.3
0.8,0.1587,1.25115050853372,56,1.3
0.7,0.1587,1.25684984206423,72,1.3
0.6,0.1587,1.25120566622627,73,1.3
0.5,0.1587,1.25095178499384,76,1.3
0.4,0.1587,1.25122199584265,79,1.3
0.3,0.1587,1.25361483819022,90,1.3
0.2,0.1587,1.25650460361358,93,1.3
0.1,0.1587,1.25266690865343,96,1.3
0,0.1587,1.25039073142926,99,1.3
1,0.14044,1.26127234601996,54,1.3
0.9,0.14044,1.25105894178003,59,1.3
0.8,0.14044,1.25472185342826,72,1.3
0.7,0.14044,1.25380482273032,75,1.3
