year_to,samp_size,series,mean,q025,q975
1990,16,ni,1.25740319219458,0.553536894009481,1.98987668390091
1990,16,lukemod,1.07454339233236,0.65791355998731,1.49540113015468
1990,16,lukestrong,1.0075358965919,0.853250029708454,1.17049682609464
1990,16,denmod,0.292757919460919,-0.166810076562272,0.73077189745751
1990,16,denstrong,0.0206403276904008,-0.105022497770174,0.148555585484833
1989,17,ni,1.31908491035029,0.665080824239894,1.99237223665325
1989,17,lukemod,1.1066356105529,0.702889742004887,1.4930721053632
1989,17,lukestrong,1.01261726816498,0.856957993741363,1.17634946282997
1989,17,denmod,0.38978177223518,-0.0845885259537445,0.81709236062938
1989,17,denstrong,0.0255808036915124,-0.103023883929916,0.153010837834654
1988,18,ni,1.06893071785482,0.462821895889063,1.7004601221363
1988,18,lukemod,1.01875746210051,0.649148222465304,1.41505155565968
1988,18,lukestrong,1.00327846890561,0.848166138764786,1.16623667862207
1988,18,denmod,0.379066035039301,-0.129279482764014,0.833457858915677
1988,18,denstrong,0.0263565244757284,-0.100273654188532,0.156103705113735
1987,19,ni,1.52860623115438,0.920783175173044,2.14765709006765
1987,19,lukemod,1.2169099622167,0.81720783602912,1.60658645137797
1987,19,lukestrong,1.02475328372645,0.868523835997267,1.18844810506378
1987,19,denmod,0.394563436623139,-0.101282762826188,0.87031720682083
1987,19,denstrong,0.0284195498888283,-0.0999724861971711,0.156528865010455
1986,20,ni,1.48102992758863,0.909186935662475,2.06796242554848
1986,20,lukemod,1.19767838305081,0.782604226669533,1.59763606526828
1986,20,lukestrong,1.02066165892648,0.865707140196629,1.18161732772751
1986,20,denmod,0.477139474725163,-0.0430737178908258,0.952748854648696
1986,20,denstrong,0.0274669213604015,-0.102180545588523,0.154328675282264
1985,21,ni,1.49518426439849,0.962294296288563,2.04841038233695
1985,21,lukemod,1.24498493230136,0.850496406709956,1.62562678666766
1985,21,lukestrong,1.02522482055315,0.869369320454269,1.19145982719098
1985,21,denmod,0.515011135541734,0.0117699954406058,1.00321025921097
1985,21,denstrong,0.0306355490634072,-0.0970453623422984,0.156937198839762
1984,22,ni,1.51357199338919,1.02962493554589,2.02756718773875
1984,22,lukemod,1.24697087813298,0.88594335726233,1.6167180482915
1984,22,lukestrong,1.03027143062034,0.872864643326891,1.19499184299729
1984,22,denmod,0.533422505051678,0.0436750143996766,0.978349642314895
1984,22,denstrong,0.0342800068415199,-0.0929330261617068,0.161657431744615
1983,23,ni,1.32429166477752,0.850771370467875,1.80632779591403
1983,23,lukemod,1.14995308091091,0.794777862947887,1.51177787617196
1983,23,lukestrong,1.02115778254424,0.867349474647603,1.18555194062686
1983,23,denmod,0.575794996059652,0.133343970269918,1.00098599449814
1983,23,denstrong,0.0385532754850267,-0.0891707879099839,0.167945572693268
1982,24,ni,1.37140209227752,0.890776906002546,1.86668892789238
1982,24,lukemod,1.19550593881893,0.840681520434463,1.54444235903676
1982,24,lukestrong,1.0233359139284,0.870379832994998,1.18629308755723
1982,24,denmod,0.586762233282342,0.117969359712294,1.01199725056273
1982,24,denstrong,0.0396772093018899,-0.0890126109414447,0.168947225545613
1981,25,ni,1.31194754168884,0.854306166660854,1.78212432606072
1981,25,lukemod,1.1710105737339,0.816011897700194,1.52493300810768
1981,25,lukestrong,1.02410340518192,0.87090779014684,1.18771265460897
