year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1912,-0.235,-0.258,-0.217,-0.167,-0.114,-0.149,-0.256,-0.393,-0.243,-0.249,-0.222,-0.234
1913,-0.306,-0.211,-0.224,-0.44,-0.448,-0.566,-0.438,-0.434,-0.428,-0.381,-0.455,-0.326
1914,-0.223,-0.319,-0.406,-0.384,-0.263,-0.377,-0.431,-0.37,-0.189,-0.113,-0.184,-0.228
1915,-0.129,-0.117,-0.004,0.051,0.262,0.293,0.317,0.212,0.197,0.029,-0.006,0.011
1916,-0.04,-0.099,-0.093,-0.119,0.019,0.028,-0.075,-0.017,-0.004,-0.075,-0.24,-0.209
1917,-0.294,-0.35,-0.402,-0.306,-0.254,-0.152,-0.209,-0.192,-0.282,-0.342,-0.32,-0.259
1918,-0.101,-0.176,-0.118,-0.179,-0.239,-0.42,-0.367,-0.391,-0.365,-0.258,-0.3,-0.224
1919,-0.227,-0.059,-0.193,-0.056,-0.165,-0.223,-0.283,-0.191,-0.192,-0.143,-0.228,-0.291
1920,-0.462,-0.404,-0.452,-0.335,-0.252,-0.282,-0.276,-0.303,-0.276,-0.268,-0.427,-0.303
1921,-0.29,-0.274,-0.318,-0.264,-0.251,-0.248,-0.108,-0.247,-0.225,-0.055,-0.262,-0.12
1922,-0.205,-0.242,-0.34,-0.41,-0.318,-0.331,-0.377,-0.309,-0.368,-0.287,-0.351,-0.324
1923,-0.364,-0.461,-0.404,-0.43,-0.281,-0.314,-0.322,-0.426,-0.37,-0.265,-0.216,-0.061
1924,-0.131,-0.199,-0.105,-0.058,0.045,-0.098,-0.126,-0.138,-0.205,-0.236,-0.316,-0.288
1925,-0.326,-0.311,-0.239,-0.18,-0.078,-0.191,-0.145,-0.133,-0.121,-0.088,-0.173,0.045
1926,0.033,0.106,0.045,0.107,0.124,0.067,0.139,0.05,0.04,0.175,0.025,0.088
1927,0.078,0.074,0.038,0.066,0.19,0.152,0.153,0.155,0.103,0.171,0.135,-0.026
1928,-0.048,-0.097,-0.096,-0.101,0.015,0.064,0.084,0.1,0.086,0.04,-0.053,-0.092
1929,-0.09,-0.102,-0.092,-0.017,-0.112,-0.194,-0.181,-0.156,-0.067,-0.056,-0.116,-0.187
1930,-0.125,-0.177,-0.096,-0.212,-0.113,-0.082,0.058,0.067,0.286,0.2,0.151,0.141
1931,0.113,0.064,0.146,0.149,0.223,0.266,0.192,0.149,0.262,0.317,0.057,0.169
1932,0.174,0.228,0.245,0.21,0.152,0.242,0.269,0.385,0.334,0.236,0.135,0.093
1933,0.086,0.154,0.088,0.209,0.289,0.242,0.277,0.279,0.241,0.329,0.078,0
1934,-0.113,-0.192,-0.213,-0.096,-0.114,0.031,0.169,0.078,0.14,0.168,0.015,-0.007
1935,0.04,-0.137,-0.152,0.052,0.139,0.107,0.06,0.003,-0.039,-0.021,0.018,0.098
1936,0.134,0.143,0.191,0.194,0.165,0.19,0.192,0.211,0.171,0.101,0.017,0.045
1937,0.052,0.083,0.096,0.067,0.128,0.447,0.608,0.588,0.504,0.294,0.253,0.35
1938,0.208,0.149,0.196,0.234,0.2,0.165,0.201,0.295,0.305,0.351,0.316,0.215
1939,0.132,0.075,-0.035,0.092,0.102,0.174,0.322,0.319,0.296,0.007,-0.156,-0.083
1940,0.059,-0.197,-0.147,-0.036,-0.001,0.011,0.093,0.102,0.021,-0.052,-0.135,-0.141
1941,-0.065,0.092,0.128,0.061,0.034,-0.022,0.085,0.276,0.301,0.413,0.39,0.323
1942,0.132,0.195,0.189,0.201,0.206,0.257,0.097,0.142,0.221,0.2,0.194,0.089
1943,0.127,0.094,-0.105,-0.139,-0.126,-0.079,0.014,0.013,0.074,0.077,0.141,0.225
1944,0.298,0.315,0.42,0.312,0.29,0.345,0.359,0.441,0.415,0.364,0.27,0.272
1945,0.258,0.347,0.363,0.409,0.308,0.172,0.082,0.106,0.083,0.101,0.183,0.136
1946,0.275,0.189,0.13,0.06,0.088,-0.102,-0.206,-0.166,-0.019,-0.017,-0.066,-0.036
1947,-0.175,-0.128,-0.092,-0.098,-0.156,-0.153,-0.158,-0.101,-0.051,-0.091,0.046,0.033
1948,-0.016,-0.029,0.027,-0.071,-0.005,0.054,-0.041,-0.024,-0.054,0.006,0.133,0.061
1949,0.152,0.159,0.037,0.098,-0.025,0,0.07,0.101,0.069,0.103,0.107,0.117
1950,0.11,-0.035,-0.107,-0.131,-0.059,-0.044,-0.056,0.019,0.009,-0.091,0.079,0.087
1951,0.102,-0.003,0.011,0.168,0.171,0.288,0.421,0.302,0.248,0.258,0.174,0.174
1952,0.171,0.181,0.229,0.19,0.179,0.382,0.371,0.402,0.36,0.353,0.249,0.339
1953,0.264,0.184,0.14,0.312,0.341,0.274,0.342,0.257,0.278,0.147,0.243,0.256
1954,0.226,0.094,0.099,-0.015,0.068,0.098,-0.046,-0.016,-0.012,-0.034,-0.028,-0.053
1955,0.074,0.039,0.04,0.094,0.175,0.192,0.267,0.173,0.201,0.277,0.384,0.255
1956,0.185,0.093,0.012,0.062,-0.06,-0.266,-0.092,-0.1,-0.091,-0.045,-0.089,0.017
1957,-0.083,-0.108,-0.021,-0.076,-0.123,-0.014,0.038,0.2,0.219,0.147,0.082,0.077
1958,0.046,0.187,0.342,0.344,0.199,0.219,0.162,0.159,0.21,0.149,0.183,0.217
1959,0.097,0.112,-0.03,-0.006,0.005,-0.062,-0.034,0.01,0.123,0.11,0.048,0.107
1960,0.174,0.214,0.086,0.094,0.3,0.316,0.268,0.332,0.208,0.293,0.247,0.135
1961,0.058,0.078,0.145,0.224,0.19,0.029,-0.022,0.033,0,0.026,0.064,0.21
1962,0.146,0.149,0.162,0.084,0.02,-0.075,-0.011,-0.067,0.001,0.062,0.043,0.187
1963,0.154,0.162,0.13,0.1,-0.088,-0.051,-0.039,-0.077,-0.206,-0.075,-0.061,-0.064
1964,-0.079,0.018,0.036,-0.15,0.037,0,-0.148,-0.238,-0.224,-0.275,-0.17,-0.125
1965,-0.202,-0.181,-0.081,-0.101,-0.103,-0.131,-0.192,-0.214,-0.226,-0.252,-0.28,-0.127
1966,-0.08,0.006,-0.014,0.039,-0.003,-0.049,-0.06,-0.048,-0.004,0.009,-0.001,0.076
1967,0.077,0.084,-0.038,-0.02,-0.191,-0.265,-0.235,-0.169,-0.101,-0.104,-0.239,-0.157
1968,-0.251,-0.203,-0.213,-0.16,-0.128,-0.267,-0.234,-0.218,-0.155,-0.118,-0.113,-0.132
