ni,lukemod,lukestrong,denmod,denstrong
28.85059511,24.13848619,13.56019818,144.7338819,0.625046747
21.24753758,69.48189737,38.08671593,89.7445029,2.481015318
50.41309767,130.8428975,7.401440757,30.44745343,-0.049802462
23.72625499,42.4935606,16.83318259,39.52268941,-1.048795112
17.43188875,31.68060758,66.22378083,69.78070042,1.330080658
34.44193748,125.1302203,25.75443114,26.45128121,6.234446951
32.22587559,18.32909788,46.29392892,22.13719444,0.990070712
35.22632442,17.22267829,41.28183765,59.67829274,2.388043739
49.68780156,30.00946043,20.53523599,36.72426605,1.786455749
32.62251626,21.73216498,110.1630841,33.48464249,2.751589766
46.7549267,69.17250947,41.11976324,38.27609995,1.503502012
12.80488438,63.50075119,21.71293647,27.63425672,2.496157951
98.17531428,30.40542061,37.37328115,42.1931904,-0.078473738
21.238696,25.47244613,65.2194143,17.03906614,-0.07470695
56.46042273,18.28527635,9.011999503,72.37763113,2.928116662
39.05006094,37.23510226,30.50888405,31.48865374,2.003944576
37.50493825,20.21034457,31.44459821,83.33607036,1.629458261
31.29398573,43.97844862,22.25170373,32.85589144,0.605758769
87.20911658,31.03741819,49.28013659,27.77194388,1.492791617
53.5452723,22.94169146,27.26767452,11.91393779,1.362701159
127.887548,21.31901735,42.71063811,121.4294547,1.693367776
106.5084958,34.67820279,11.39799124,30.48453688,0.31119008
147.2177188,40.88931845,21.96527814,63.55706907,2.936400076
36.71980074,16.36724403,42.22440534,86.50731376,3.674741849
85.42422739,26.66960916,17.3779872,30.40865974,1.590346481
48.80337578,37.18793222,71.20960249,21.78504733,2.422254641
22.58943207,37.07113803,20.83252147,55.76979475,2.977133278
47.48879341,13.88829695,48.44566399,41.75307274,1.027251677
40.40976931,17.9116603,45.26713403,55.56973335,2.27234588
41.83317091,37.60307763,17.18413447,98.4331741,0.377630113
23.82836647,18.94022569,19.43886323,25.98816742,2.091090635
77.02242068,76.92103512,27.85090864,16.55211266,0.527296748
32.77450412,24.92335134,4.389773067,34.79737805,0.91996705
37.76557332,96.68432417,21.1425325,67.99600052,2.486641305
41.15818275,50.32491086,20.00799907,32.57619106,0.72599532
21.66021808,22.98266804,15.85878069,31.60028511,3.216743356
107.0933613,64.56069329,72.0787056,30.78472237,1.052747024
10.56157061,136.3843296,46.91168579,45.03397354,0.844002334
26.80903598,22.76188677,37.25809064,26.25131668,2.041130848
46.15882646,13.09966593,29.74401489,41.86338034,0.808388325
19.77484149,33.25322041,40.56116048,31.84921798,1.343256107
41.78296437,103.8555206,8.44398554,29.92179221,2.635048808
45.0866298,35.2720345,26.57393664,41.16539501,-0.812778257
79.10422635,35.60687795,29.16832184,8.640391807,2.901862662
20.03496685,78.80240459,18.96776407,45.81455353,2.778100826
137.5768444,10.93043994,73.42651573,23.33927036,1.486655384
56.84243971,41.27601349,45.09334936,30.6011032,0.934018243
40.86862246,56.72348908,22.23038694,11.48510951,2.749067823
40.55726714,30.7906064,19.9148929,40.09203198,1.34989845
90.01616698,23.30625184,66.14071968,21.08431388,0.910707652
13.05483571,40.74698384,15.55423702,98.09849605,4.34173652
41.90640186,46.04690253,20.08853133,84.98266698,1.5924393
37.6051998,39.21100614,42.302353,17.21491979,0.46402528
53.71817242,19.107433,64.02234058,82.39297004,2.042789504
53.44234684,91.15636434,56.85176864,114.1123988,-0.108043324
32.98822787,44.53757572,5.279917512,35.9232952,2.395412776
101.9527346,46.76494106,19.06033561,40.29507825,10.83997614
24.05138337,278.7196537,18.12792963,38.85289868,1.61511696
22.94596819,44.94853384,34.44008922,75.28154106,1.829578637
38.72475423,31.12176435,133.5119318,9.470441252,0.500005585
17.42657683,11.85552702,5.544474001,55.42463792,1.424338044
58.23039242,43.40398717,29.40655089,57.16191578,2.32249641
29.21770861,33.70841995,31.7661801,43.42101215,4.316277496
22.49644841,10.62748898,17.4246972,49.91065305,0.634105811
14.89327462,107.681396,18.91144769,146.4122675,4.591240463
45.41173478,27.33496325,11.59481115,13.99832731,0.592035405
62.40417178,23.34002108,18.53569632,36.92209615,2.290184664
50.64239994,10.91361616,22.67573369,19.07779202,1.963309633
36.73283489,11.65739458,42.10109679,57.12195178,3.247448476
40.04811221,23.9490696,33.60452842,18.35405029,2.326215557
45.72482511,93.50495867,11.65052928,24.84807323,1.884582437
22.45795166,25.23927732,18.8685757,19.27934464,2.451105238
44.86220644,41.35342754,9.609302061,100.4592155,1.158895746
16.5701817,52.3741131,13.16080192,116.7602836,4.314819937
8.151953262,28.54865559,17.02363964,21.21366954,0.926279478
41.9033615,23.64147791,24.24268766,17.62593231,4.542750026
66.45534714,12.63942311,8.496466244,23.84684771,1.450166516
67.42932813,31.46597973,23.78037677,23.94151708,1.545115937
16.52886249,26.1074818,157.7491861,17.10639055,3.268175913
36.11326381,26.03195937,37.40744602,58.81202355,1.010182694
36.30696593,34.42583598,36.73507379,56.93342724,1.186311806
41.842525,56.48723825,35.34154527,65.02723553,1.317900421
45.65573998,50.90371223,12.30333561,55.61240992,1.986817632
95.03534183,41.11770346,6.231787171,68.02954755,6.785822334
16.49673672,14.62132264,36.0305408,11.94244739,0.183258388
