mu,sigma,tcr_mean,yr_converge,yr_start,thresh,run
0.2,0.102,1.25125630743108,2017,1977,1.3,evid
0.1,0.102,1.26769382663699,2022,1977,1.3,evid
0,0.102,1.25907210370616,2026,1977,1.3,evid
1,0.084,1.25326012455411,1988,1988,1.3,evid
0.9,0.084,1.25921635933706,1997,1988,1.3,evid
0.8,0.084,1.25430012662783,2003,1988,1.3,evid
0.7,0.084,1.25294290839256,2008,1988,1.3,evid
0.6,0.084,1.25683116459568,2014,1988,1.3,evid
0.5,0.084,1.26883184499524,2021,1988,1.3,evid
0.4,0.084,1.26122274159809,2026,1988,1.3,evid
0.3,0.084,1.25278222928009,2029,1988,1.3,evid
0.2,0.084,1.26176697028462,2034,1988,1.3,evid
0.1,0.084,1.25493880635674,2038,1988,1.3,evid
0,0.084,1.26950788922721,2043,1988,1.3,evid
1,0.065,1.25177653481679,2001,2001,1.3,evid
0.9,0.065,1.25619559925046,2011,2001,1.3,evid
0.8,0.065,1.26258278441214,2021,2001,1.3,evid
0.7,0.065,1.26364743598015,2029,2001,1.3,evid
0.6,0.065,1.26265250098064,2036,2001,1.3,evid
0.5,0.065,1.26661732762821,2043,2001,1.3,evid
0.4,0.065,1.2633012693384,2052,2001,1.3,evid
0.3,0.065,1.27229238931719,2060,2001,1.3,evid
0.2,0.065,1.25569914509596,2066,2001,1.3,evid
0.1,0.065,1.27913754115571,2073,2001,1.3,evid
0,0.065,1.33459710533671,2081,2001,1.3,evid
1,0.25,1.46568493407206,1962,1962,1.5,evid
0.9,0.25,1.47330189508937,1963,1962,1.5,evid
0.8,0.25,1.4518105919597,1965,1962,1.5,evid
0.7,0.25,1.47893233989937,1969,1962,1.5,evid
0.6,0.25,1.45917004028387,1970,1962,1.5,evid
0.5,0.25,1.49089786789294,1973,1962,1.5,evid
0.4,0.25,1.45082987625586,1974,1962,1.5,evid
0.3,0.25,1.46043919429416,1977,1962,1.5,evid
0.2,0.25,1.47344047303066,1983,1962,1.5,evid
0.1,0.25,1.4533586367174,1986,1962,1.5,evid
0,0.25,1.45492863908758,1990,1962,1.5,evid
1,0.232,1.48507405450776,1963,1963,1.5,evid
0.9,0.232,1.4554078564651,1965,1963,1.5,evid
0.8,0.232,1.45215383571191,1968,1963,1.5,evid
0.7,0.232,1.45728020341092,1971,1963,1.5,evid
0.6,0.232,1.47961836078858,1973,1963,1.5,evid
0.5,0.232,1.45815360292259,1975,1963,1.5,evid
0.4,0.232,1.47307872601892,1983,1963,1.5,evid
0.3,0.232,1.4578101355106,1986,1963,1.5,evid
