"scc","prior"
150.5753388331189,"ni"
104.27906634184124,"ni"
37.195231509521896,"ni"
50.46521823181848,"ni"
68.37193092045158,"ni"
30.913539974289883,"ni"
471.46225687041937,"ni"
31.053778890049486,"ni"
60.39561326459257,"ni"
34.788811535343925,"ni"
156.06228184573072,"ni"
38.355339260815164,"ni"
48.14658501351917,"ni"
29.132919553933537,"ni"
123.76888517413902,"ni"
74.72901847507308,"ni"
219.0934446208437,"ni"
28.871398316384568,"ni"
39.49493892701709,"ni"
37.73814406618023,"ni"
51.02570488400583,"ni"
25.53353877127396,"ni"
195.70518347527755,"ni"
53.33907498722832,"ni"
32.85455365569807,"ni"
69.42456137017022,"ni"
152.2899197103887,"ni"
83.94894188849167,"ni"
51.49608081053101,"ni"
56.09952791878755,"ni"
106.75873607755844,"ni"
73.28374966310989,"ni"
46.16553439359113,"ni"
83.90925715728055,"ni"
143.05070865555848,"ni"
49.95544022474516,"ni"
21.908188324386003,"ni"
74.76045399396435,"ni"
45.792905474588714,"ni"
89.95354206037585,"ni"
11.786993408324228,"ni"
148.52683534664172,"ni"
56.476252185942556,"ni"
159.047275642294,"ni"
80.32519133609505,"ni"
31.95051191068932,"ni"
279.25327399720305,"ni"
111.1843398200737,"ni"
119.68839335173982,"ni"
34.64673927283456,"ni"
71.96935818780554,"ni"
33.23313169647548,"ni"
104.4528769968535,"ni"
43.056256420167834,"ni"
44.13889476164516,"ni"
84.9819951063306,"ni"
34.61192414939998,"ni"
80.72840689742956,"ni"
62.62192197935004,"ni"
73.65425713218092,"ni"
28.80005823518973,"ni"
53.06731803075323,"ni"
47.11092774269137,"ni"
22.854922743498104,"ni"
20.985676527363733,"ni"
39.679396910789066,"ni"
22.412119066549998,"ni"
98.01431911199747,"ni"
77.00657450728278,"ni"
30.821911413652398,"ni"
68.9229250231995,"ni"
31.045603629018327,"ni"
58.370711419559015,"ni"
105.5313452104734,"ni"
24.96370370461739,"ni"
27.04889935735692,"ni"
65.88172179307014,"ni"
71.7054573959038,"ni"
95.10607269615763,"ni"
79.21678697484249,"ni"
35.25204906157249,"ni"
58.30665749821626,"ni"
77.10990964680909,"ni"
46.47250103552338,"ni"
67.964665745641,"ni"
68.04786676057061,"ni"
169.24819718946853,"ni"
36.87529034221053,"ni"
267.02499883902226,"ni"
43.80245242874868,"ni"
61.08852703231994,"ni"
40.38594018738737,"ni"
28.32094581993991,"ni"
91.43857888556154,"ni"
71.4906230500315,"ni"
71.28589085321187,"ni"
38.212521327714725,"ni"
35.209017517554535,"ni"
119.14113945221803,"ni"
51.39439423369294,"ni"
53.20277844729164,"ni"
147.38650085185074,"ni"
132.65989554320512,"ni"
93.93444970438823,"ni"
158.31886276374763,"ni"
34.666199677190434,"ni"
93.0858536460988,"ni"
41.09244340723822,"ni"
38.2162463435609,"ni"
32.96888466869806,"ni"
50.81944658874187,"ni"
36.59711853217714,"ni"
