mu,sigma,tcr_mean,yrs,thresh
1,0.1575,1.45028800013378,114,1.5
1,0.139,1.46860379982627,122,1.5
1,0.1205,1.45376319280525,125,1.5
1,0.102,1.45426274769276,139,1.5
1,0.0835,1.45217740434799,143,1.5
1,0.065,1.45327906822092,162,1.5
0.9,0.25,1.46073639999078,107,1.5
0.9,0.2315,1.45399852067896,107,1.5
0.9,0.213,1.45053100908652,110,1.5
0.9,0.1945,1.46351596116132,111,1.5
0.9,0.176,1.45123700721409,114,1.5
0.9,0.1575,1.47396542554898,122,1.5
0.9,0.139,1.46625735748194,124,1.5
0.9,0.1205,1.45533611868957,138,1.5
0.9,0.102,1.45739439087033,140,1.5
0.9,0.0835,1.4537291826518,147,1.5
0.9,0.065,1.45160861440455,171,1.5
0.8,0.25,1.45100437303544,109,1.5
0.8,0.2315,1.48590648591816,111,1.5
0.8,0.213,1.47274909272258,111,1.5
0.8,0.1945,1.45090524898717,113,1.5
0.8,0.176,1.48178481367347,122,1.5
0.8,0.1575,1.4564221399344,122,1.5
0.8,0.139,1.45055300057401,126,1.5
0.8,0.1205,1.45388536688907,139,1.5
0.8,0.102,1.45472516975848,143,1.5
0.8,0.0835,1.45438270290641,160,1.5
0.8,0.065,1.45172572009922,184,1.5
0.7,0.25,1.45494283837589,110,1.5
0.7,0.2315,1.46974848987926,111,1.5
0.7,0.213,1.45538818987709,111,1.5
0.7,0.1945,1.46026598152185,115,1.5
0.7,0.176,1.46315125868308,122,1.5
0.7,0.1575,1.45467415481781,124,1.5
0.7,0.139,1.45378138333171,138,1.5
0.7,0.1205,1.46068521992799,140,1.5
0.7,0.102,1.45096993961657,145,1.5
0.7,0.0835,1.45248959693815,162,1.5
0.7,0.065,1.45032055039803,188,1.5
0.6,0.25,1.47931502177316,111,1.5
0.6,0.2315,1.46277062267997,111,1.5
0.6,0.213,1.46461332943796,115,1.5
0.6,0.1945,1.47725296650694,122,1.5
0.6,0.176,1.45110249508748,122,1.5
0.6,0.1575,1.45788607144692,137,1.5
0.6,0.139,1.45622014209872,139,1.5
0.6,0.1205,1.45406882324466,142,1.5
0.6,0.102,1.4506915513394,148,1.5
0.6,0.0835,1.45172663246079,170,1.5
0.6,0.065,1.45004463144784,191,1.5
0.5,0.25,1.46237708041366,111,1.5
0.5,0.2315,1.45306955122538,114,1.5
0.5,0.213,1.45001451637297,115,1.5
0.5,0.1945,1.45868365421397,122,1.5
0.5,0.176,1.45369195129005,124,1.5
0.5,0.1575,1.45559283980475,138,1.5
0.5,0.139,1.46716708109203,140,1.5
0.5,0.1205,1.45069206827798,143,1.5
0.5,0.102,1.45630854081035,160,1.5
0.5,0.0835,1.45264018224939,176,1.5
0.5,0.065,1.45221560041834,200,1.5
0.4,0.25,1.45191776021101,111,1.5
0.4,0.2315,1.46014108272992,115,1.5
0.4,0.213,1.47269741078516,122,1.5
0.4,0.1945,1.45092915185642,122,1.5
0.4,0.176,1.45039417397351,126,1.5
0.4,0.1575,1.46015488598771,139,1.5
0.4,0.139,1.45599518569143,140,1.5
0.4,0.1205,1.45087412391988,145,1.5
0.4,0.102,1.45019945615763,161,1.5
0.4,0.0835,1.45033040076161,183,1.5
0.4,0.065,1.45029540885094,209,1.5
0.3,0.25,1.46894248895399,115,1.5
0.3,0.2315,1.45054141587864,115,1.5
0.3,0.213,1.46112518183911,122,1.5
