mu,sigma,tcr_mean,yrs,thresh
1,0.25,1.25181927383488,49,1.3
0.9,0.25,1.27175176508512,50,1.3
0.8,0.25,1.26475043472017,50,1.3
0.7,0.25,1.25167219421631,50,1.3
0.6,0.25,1.26196524708552,51,1.3
0.5,0.25,1.25078067635756,51,1.3
0.4,0.25,1.25289212646025,54,1.3
0.3,0.25,1.25022659380581,55,1.3
0.2,0.25,1.25589182085755,56,1.3
0.1,0.25,1.26254782500749,70,1.3
0,0.25,1.2521077745512,71,1.3
1,0.23174,1.28488359917739,50,1.3
0.9,0.23174,1.26895675452791,50,1.3
0.8,0.23174,1.26220711628382,50,1.3
0.7,0.23174,1.25746593859909,50,1.3
0.6,0.23174,1.26260789409544,54,1.3
0.5,0.23174,1.25309566701098,54,1.3
0.4,0.23174,1.25825876589322,56,1.3
0.3,0.23174,1.25311475872919,57,1.3
0.2,0.23174,1.25500574651482,70,1.3
0.1,0.23174,1.26159449725284,72,1.3
0,0.23174,1.25569204312473,72,1.3
1,0.21348,1.28032174893293,50,1.3
0.9,0.21348,1.26439201323159,50,1.3
0.8,0.21348,1.25438571757175,51,1.3
0.7,0.21348,1.2648684750458,54,1.3
0.6,0.21348,1.25390606445109,54,1.3
0.5,0.21348,1.25435302558444,56,1.3
0.4,0.21348,1.25540825243398,69,1.3
0.3,0.21348,1.26285791673303,72,1.3
0.2,0.21348,1.25339834747833,72,1.3
0.1,0.21348,1.25866102719467,73,1.3
0,0.21348,1.25162126907772,75,1.3
1,0.19522,1.27236012300812,50,1.3
0.9,0.19522,1.25007080063375,50,1.3
0.8,0.19522,1.25064437184142,53,1.3
0.7,0.19522,1.25107315412949,55,1.3
0.6,0.19522,1.25276939502116,56,1.3
0.5,0.19522,1.25313541267148,70,1.3
0.4,0.19522,1.25740475044193,72,1.3
0.3,0.19522,1.25584343614977,73,1.3
0.2,0.19522,1.25062053543944,75,1.3
0.1,0.19522,1.25513457256516,77,1.3
0,0.19522,1.25012857110023,78,1.3
1,0.17696,1.26198999855757,50,1.3
0.9,0.17696,1.2569675118649,51,1.3
0.8,0.17696,1.25721667379976,54,1.3
0.7,0.17696,1.25134029560514,57,1.3
0.6,0.17696,1.25311669801579,71,1.3
0.5,0.17696,1.26139299305084,73,1.3
0.4,0.17696,1.25048210286709,75,1.3
0.3,0.17696,1.25465239514242,77,1.3
0.2,0.17696,1.25534866359542,79,1.3
0.1,0.17696,1.25179409653605,81,1.3
0,0.17696,1.26503075189669,93,1.3
1,0.1587,1.2560501712705,51,1.3
0.9,0.1587,1.26031752439335,54,1.3
0.8,0.1587,1.25020417526731,56,1.3
0.7,0.1587,1.2616137686639,72,1.3
0.6,0.1587,1.25509879265619,73,1.3
0.5,0.1587,1.25247851205671,76,1.3
0.4,0.1587,1.25119227760419,79,1.3
0.3,0.1587,1.25422477904603,92,1.3
0.2,0.1587,1.25663508961248,93,1.3
0.1,0.1587,1.25324905147177,96,1.3
0,0.1587,1.25308807175272,99,1.3
1,0.14044,1.25924501551419,54,1.3
0.9,0.14044,1.25128023557591,59,1.3
0.8,0.14044,1.25267777031079,72,1.3
0.7,0.14044,1.25448694855425,76,1.3
0.6,0.14044,1.25053269078214,78,1.3
0.5,0.14044,1.25573605094662,92,1.3
0.4,0.14044,1.25539811375276,94,1.3
0.3,0.14044,1.25725239464875,98,1.3
0.2,0.14044,1.25212695011814,101,1.3
0.1,0.14044,1.25347877714231,103,1.3
0,0.14044,1.25560059024874,106,1.3
1,0.12218,1.25135771552207,56,1.3
0.9,0.12218,1.25171496969232,72,1.3
0.8,0.12218,1.25369872222059,77,1.3
0.7,0.12218,1.25128853123622,89,1.3
0.6,0.12218,1.25269690245025,94,1.3
0.5,0.12218,1.26046469053501,100,1.3
0.4,0.12218,1.25132155853695,102,1.3
0.3,0.12218,1.25131894389039,106,1.3
0.2,0.12218,1.25362243519429,111,1.3
0.1,0.12218,1.25331830955296,115,1.3
0,0.12218,1.25980060798443,120,1.3
1,0.10392,1.25081431617411,72,1.3
0.9,0.10392,1.25377962481286,78,1.3
0.8,0.10392,1.25620970736601,93,1.3
0.7,0.10392,1.26071609206957,100,1.3
0.6,0.10392,1.25194998058756,104,1.3
0.5,0.10392,1.25335113028613,109,1.3
0.4,0.10392,1.25767476996447,117,1.3
0.3,0.10392,1.25082391023201,124,1.3
0.2,0.10392,1.25363379505558,139,1.3
0.1,0.10392,1.21623534672426,140,1.3
0,0.10392,1.1776782440574,140,1.3
1,0.08566,1.25215526670827,79,1.3
0.9,0.08566,1.25006004718782,97,1.3
0.8,0.08566,1.25149488186015,104,1.3
0.7,0.08566,1.25154904508135,114,1.3
0.6,0.08566,1.25135271283616,125,1.3
0.5,0.08566,1.23804574744477,140,1.3
0.4,0.08566,1.1881415612851,140,1.3
0.3,0.08566,1.13271264703086,140,1.3
0.2,0.08566,1.06500429875222,140,1.3
0.1,0.08566,0.975298069957046,140,1.3
0,0.08566,0.852193076011811,140,1.3
1,0.0674,1.25613671073361,102,1.3
0.9,0.0674,1.25158103729278,115,1.3
0.8,0.0674,1.24707589266839,140,1.3
0.7,0.0674,1.19120437391407,140,1.3
0.6,0.0674,1.12181513730107,140,1.3
0.5,0.0674,1.04212585834716,140,1.3
0.4,0.0674,0.943350187748736,140,1.3
0.3,0.0674,0.827149834877749,140,1.3
0.2,0.0674,0.702856484227812,140,1.3
0.1,0.0674,0.569795870343671,140,1.3
0,0.0674,0.441902532144637,140,1.3
