prior,year_to,tcr_mean,tcr_q025,tcr_q975
denmod,1880,0.06067125641576058,-0.43169597543443283,0.5415794375359217
denstrong,1880,0.003931080049815271,-0.12333530814305178,0.1318329301533047
lukemod,1880,1.0463901659819035,0.570855058979992,1.5395887175850314
lukestrong,1880,1.003395643157431,0.8482096250357687,1.1668941650509042
ni,1880,3.7305166542688712,0.788849308657785,6.779750827434169
denmod,1881,0.04883722917350911,-0.4449053091223787,0.5402730956621039
denstrong,1881,0.0034292561213839982,-0.12516949025731447,0.1303989182683223
lukemod,1881,1.031531614639474,0.5436233773856335,1.535413504773851
lukestrong,1881,1.0023254140807174,0.8447561117741457,1.1699888326193804
ni,1881,3.974359405504549,0.3528296878323905,7.645077771339608
denmod,1882,0.07827531264596296,-0.41449518611543473,0.5661228070713835
denstrong,1882,0.005288683479441214,-0.12391083435579892,0.1351947970182994
lukemod,1882,1.0661812108092503,0.5719154927889946,1.5777257639777607
lukestrong,1882,1.0054215708314744,0.8490443725758631,1.170262183767303
ni,1882,3.9223555911345307,1.0510497081924677,6.826132826140755
denmod,1883,0.05986606032635432,-0.42105742001212226,0.5466734068419017
denstrong,1883,0.0038798937642503676,-0.12509453781488927,0.1291657138614509
lukemod,1883,1.0427992546602005,0.5577625952231663,1.5346112919813972
lukestrong,1883,1.0017942589928535,0.8433006460921496,1.165652275563855
ni,1883,3.068296976352241,-0.30449635489605686,6.465129382565941
denmod,1884,0.062010990652091216,-0.42729276551182976,0.5625584778557572
denstrong,1884,0.004982890385132246,-0.12182443264825363,0.13369401435773437
lukemod,1884,1.0388107830332443,0.5357330538744429,1.5442420787999485
lukestrong,1884,1.003790576903273,0.8464804419647988,1.1687091349859113
ni,1884,3.226358497054672,0.018078803960764278,6.512291714177842
denmod,1885,0.06241198392132086,-0.4220642056023948,0.5459124126758473
denstrong,1885,0.0038695452387151916,-0.12199900903544518,0.1336785407534347
lukemod,1885,1.0474943701011696,0.5618517214681977,1.541360975131005
lukestrong,1885,1.0032546950276775,0.8444570511530499,1.1670552954296134
ni,1885,3.2097872288365115,-0.10806380818705338,6.519106995237227
denmod,1886,0.05194663529378263,-0.4284540240068516,0.5349894928017151
denstrong,1886,0.002556360419183965,-0.12755099528332578,0.12854759454323028
lukemod,1886,1.0444620066690067,0.5405945868604489,1.551587744263544
lukestrong,1886,1.0021775282421832,0.8478914940506257,1.166921116336491
ni,1886,2.8906141939501095,-0.6136122180550811,6.509851087462015
denmod,1887,0.044713252645658154,-0.45180658123606937,0.5354330612428599
denstrong,1887,0.003360166555295381,-0.12543339447009894,0.1321658580491611
lukemod,1887,1.0231412135708997,0.5312873491214292,1.5173184513853324
lukestrong,1887,1.0015584487107458,0.8454122711446259,1.1668759938041724
ni,1887,2.6828250242658567,-1.1030901583900228,6.564132229471811
denmod,1888,0.03425756726534717,-0.45195243507678123,0.5209243140723978
denstrong,1888,0.0014610757978171028,-0.1256364871597974,0.12952960432216104
lukemod,1888,1.0180100550555522,0.5361784232407676,1.5115986287250167
lukestrong,1888,1.0007725135078653,0.8448296678603341,1.1616267733730838
ni,1888,2.451858617421762,-1.554543430895232,6.472256320828707
denmod,1889,0.04317476766361074,-0.4439595217132058,0.5518288470754907
denstrong,1889,0.001067390808039981,-0.12767882759888682,0.12798256994653817
lukemod,1889,1.0199480604433229,0.534036179947308,1.5296818521615703
lukestrong,1889,1.0015936947470796,0.8441369023012906,1.164442185648198
ni,1889,2.5275905332353727,-1.4546690777495295,6.522622195579492
denmod,1890,0.0359985113331824,-0.4471783376900177,0.5220650999461236
denstrong,1890,0.0020669714978600816,-0.12695898407431877,0.12997416100196857
lukemod,1890,1.0146471524955456,0.5274341742004754,1.5322073487096142
lukestrong,1890,1.0010889554286815,0.8451343154790799,1.1679750958898443
ni,1890,2.4235690794299827,-1.4083640919695877,6.274297988612833
denmod,1891,0.04333280602631386,-0.4430670600126897,0.5289031837883027
denstrong,1891,0.003356990052149117,-0.12278988394894715,0.132652436676874
lukemod,1891,1.0139754006065043,0.5230874159807649,1.5243733965340425
lukestrong,1891,1.0005437549470853,0.8437742606565111,1.1660435146587298
ni,1891,2.273849377364372,-1.3721881233365727,5.929242837819615
denmod,1892,0.031132495151129477,-0.4647838807609739,0.5138604629983624
denstrong,1892,0.0018225866861911245,-0.12628037722418015,0.12921116342616565
lukemod,1892,1.0063781973188897,0.5148319371317736,1.5140330013087568
lukestrong,1892,1.000446011323507,0.8432373845319022,1.1680581554697123
ni,1892,1.6786026818532593,-1.830230898136942,5.201899514694119
denmod,1893,0.011422495285092616,-0.47189100499893644,0.49306547704347203
denstrong,1893,-4.888720279290894e-5,-0.12676535322825017,0.12643228382960156
lukemod,1893,0.9822788005294871,0.4899392459543494,1.4817707051341165
lukestrong,1893,0.9976629965001069,0.8408453428843842,1.164133927179892
ni,1893,0.3277623637263689,-3.079300611045574,3.6426943496537874
denmod,1894,0.012746910533798164,-0.4793765989441316,0.49945642995615813
denstrong,1894,0.0014926722493146657,-0.1249432434674096,0.12780957680690969
lukemod,1894,0.9997399799281612,0.5056812240420188,1.4941028730426742
lukestrong,1894,0.9982461806887074,0.8430080388070396,1.1603509126841671
ni,1894,0.6850629346579094,-2.4487629729116467,3.8658633184743056
denmod,1895,0.012451615972290017,-0.47537131371160785,0.49055206570492565
denstrong,1895,2.2762856866839694e-4,-0.12984845115047755,0.13165955139220056
lukemod,1895,0.9830922703061115,0.5037073751601525,1.4837927955879735
lukestrong,1895,0.9995362569334609,0.8425947298698163,1.1683984719962943
ni,1895,0.5272273427089907,-2.5130185275665244,3.556908203528297
denmod,1896,0.011513007974778803,-0.47099620795389596,0.4984551576457684
denstrong,1896,6.443844127000907e-4,-0.12810944678906003,0.12685631750604134
lukemod,1896,0.9803879599179064,0.5053046384033613,1.4880992874743777
lukestrong,1896,0.9985182455879147,0.8432825729706457,1.16300408669576
ni,1896,0.7854683415164931,-2.1317926825003752,3.7154767627238074
denmod,1897,0.02507785831871572,-0.4525743373875782,0.49692064145393394
denstrong,1897,0.0015895158225192566,-0.12491965462531951,0.12918615456833435
lukemod,1897,0.9876635539884349,0.5081068268264799,1.4859550504821701
lukestrong,1897,0.9989454361338457,0.841340680988058,1.167623900212222
ni,1897,0.8695633204920434,-1.9789366701523483,3.738657366771868
denmod,1898,0.007769863505622612,-0.4742749986225672,0.4901373660940844
denstrong,1898,3.896967911565981e-4,-0.12953622808723883,0.12920497259201677
lukemod,1898,0.980252865291465,0.4870339681407414,1.4750545508313546
lukestrong,1898,0.9987291381752508,0.8434442593162027,1.1634715148789694
ni,1898,0.6745396636544542,-2.210955467607008,3.596674939051483
denmod,1899,0.01531725173084975,-0.4673848415633394,0.4956668612338501
denstrong,1899,4.21397351167846e-4,-0.12792621428062764,0.12932082070884304
lukemod,1899,0.9805300100017859,0.5052139037497911,1.4759254657528096
lukestrong,1899,0.9986408029704088,0.8407417818693946,1.1656050531266913
ni,1899,0.6085610990357844,-2.2303002820502966,3.456056961859474
denmod,1900,0.012962948275264967,-0.47054928101106197,0.5093557371325446
denstrong,1900,-4.260929935754016e-4,-0.12672777263659116,0.12558639175505257
lukemod,1900,0.9818392555380158,0.4962704102795883,1.4839639310988229
lukestrong,1900,0.9992091760712338,0.841619245611885,1.1624961203462623
ni,1900,0.614117490292543,-2.221254399541072,3.384485571935522
denmod,1901,-0.004202867894468275,-0.4803084568642264,0.476661030445629
denstrong,1901,0.001271742355982923,-0.12451705711037107,0.12695032663680966
