tcr_mean,tcr_q025,tcr_q975,prior,year_to,run
1.49549035075638,1.21739852767429,1.7704037070487,ni,1980,rec
1.39543251895148,1.0867146256352,1.65103534492797,lukemod,1980,rec
1.05045548881386,0.889071841489251,1.21579938428268,lukestrong,1980,rec
0.617672250979323,0.0583812044206518,1.16482990989777,denmod,1980,rec
0.0332706459483693,-0.104283576729278,0.168044522776212,denstrong,1980,rec
1.51049478043284,1.24162913031552,1.77141152164695,ni,1979,rec
1.39930192605677,1.08707296943158,1.65979262024455,lukemod,1979,rec
1.05169640366798,0.893632507751365,1.2181375660878,lukestrong,1979,rec
0.55888890698023,-0.0307330463984435,1.17213963279569,denmod,1979,rec
0.0278031478180673,-0.100212834648656,0.155152439749139,denstrong,1979,rec
1.53208774696758,1.20332444828088,1.86452688456849,ni,1978,rec
1.38888170876533,1.07147008439098,1.68056824349296,lukemod,1978,rec
1.05107516134662,0.888505440882422,1.21904757411974,lukestrong,1978,rec
0.697814033459911,0.141641158840304,1.22882120818594,denmod,1978,rec
0.037122241705072,-0.0925806222331485,0.16326241107706,denstrong,1978,rec
1.51181577626031,1.21898483745797,1.79374083896983,ni,1977,rec
1.41907377607263,1.10391090478854,1.69188940371614,lukemod,1977,rec
1.05491716162887,0.89508618622152,1.21833798174545,lukestrong,1977,rec
0.686151194297571,0.152482120652915,1.22029729499484,denmod,1977,rec
0.0347494021188022,-0.0927364522769305,0.162901988776707,denstrong,1977,rec
1.50784845938405,1.22209489157639,1.79612118254071,ni,1976,rec
1.40359509688382,1.12408663576053,1.67328510538771,lukemod,1976,rec
1.06207191397285,0.906308673127081,1.23172939963577,lukestrong,1976,rec
0.831610803311918,0.296985376493278,1.32062357113487,denmod,1976,rec
0.0440176118446354,-0.0785510716719639,0.168829681143319,denstrong,1976,rec
1.48393681365702,1.19609823005045,1.77225315279748,ni,1975,rec
1.38059758159263,1.08354873718035,1.65059489992729,lukemod,1975,rec
1.05707348027481,0.901504561463593,1.2249270708711,lukestrong,1975,rec
0.791186368307279,0.241729743802683,1.30628606946413,denmod,1975,rec
0.043847115132176,-0.0885810246823358,0.173235829121321,denstrong,1975,rec
1.44955063506767,1.1012218751268,1.76822455272634,ni,1974,rec
1.32762514063211,0.989690809721312,1.61561732647927,lukemod,1974,rec
1.04649706720087,0.889253408229445,1.21144188990806,lukestrong,1974,rec
0.752369396674192,0.251424269901225,1.19803352503541,denmod,1974,rec
0.0460824794250134,-0.0799555160715391,0.171577437370294,denstrong,1974,rec
1.16259974666843,0.682403106417352,1.61145363953343,ni,1973,rec
1.09631107925462,0.742793143722396,1.44501006490668,lukemod,1973,rec
1.01343960072043,0.863108711767853,1.17746910709151,lukestrong,1973,rec
0.528916097841689,0.11536821267073,0.937155882008303,denmod,1973,rec
0.0433559831282518,-0.0847134514483565,0.167886080654209,denstrong,1973,rec
1.10964387265633,0.635670593224463,1.59201725666722,ni,1972,rec
1.07193557021613,0.721329908392125,1.42800652254923,lukemod,1972,rec
1.01026483312597,0.857030660822973,1.17067027867486,lukestrong,1972,rec
0.526061856457463,0.10855838285437,0.91493529908112,denmod,1972,rec
0.0440544988858986,-0.081397016859635,0.167658749172726,denstrong,1972,rec
1.11869145791115,0.651645469959811,1.56126645747853,ni,1971,rec
1.06831983754774,0.737783223588303,1.4050738718343,lukemod,1971,rec
1.01230959767575,0.859670709648572,1.17837399470165,lukestrong,1971,rec
0.556049771727438,0.149126666569458,0.941319116280616,denmod,1971,rec
0.0484093338954759,-0.0788998299144638,0.176720711060167,denstrong,1971,rec
1.12227764957459,0.712467784601241,1.55186618530148,ni,1970,rec
1.0808577655768,0.763172132957306,1.40305540475493,lukemod,1970,rec
1.01417198007177,0.861199555965661,1.16403552392271,lukestrong,1970,rec
0.623396669980378,0.231769523619522,0.976903355215956,denmod,1970,rec
0.0549979433919798,-0.0731499639338642,0.179890507064055,denstrong,1970,rec
1.15203099302607,0.811412369463358,1.49948336332823,ni,1969,rec
1.10988821667454,0.817991547333559,1.40733475504694,lukemod,1969,rec
1.02320944570992,0.875342698969364,1.17815722273394,lukestrong,1969,rec
0.735594844669767,0.351400799840135,1.0710219596277,denmod,1969,rec
0.0616144305789316,-0.0698485661538086,0.193656446469276,denstrong,1969,rec
1.15900003406226,0.83882562208178,1.47559564126086,ni,1968,rec
1.12584957729227,0.851087538179132,1.40114926525047,lukemod,1968,rec
1.02784023207254,0.875757803288821,1.18278655389783,lukestrong,1968,rec
0.770498745039617,0.398608422198567,1.09617819595413,denmod,1968,rec
0.061263991846644,-0.0653056971894125,0.188873612079272,denstrong,1968,rec
1.16845793218098,0.875468585278343,1.45709505869863,ni,1967,rec
1.13184445264656,0.878081229226035,1.40041296794274,lukemod,1967,rec
1.03289611019253,0.882955447960863,1.19170457825623,lukestrong,1967,rec
0.818483379145624,0.462153836396825,1.11985837056103,denmod,1967,rec
0.0705964438145147,-0.0540704708240651,0.195760855415659,denstrong,1967,rec
1.23627493982659,0.966872364483903,1.51002854415576,ni,1966,rec
1.19342999903061,0.947400311076249,1.43851596199495,lukemod,1966,rec
1.05086098730067,0.897572344408794,1.21410279184463,lukestrong,1966,rec
0.93652612368548,0.603067439541719,1.22263747066049,denmod,1966,rec
0.0711486634467217,-0.0592109980871081,0.197821788910763,denstrong,1966,rec
1.25068694052536,0.986040071028437,1.51537055763489,ni,1965,rec
1.20697127084352,0.96816986264076,1.44732556034717,lukemod,1965,rec
1.05556288462526,0.90027170532737,1.20927271944574,lukestrong,1965,rec
